Smile,id
CC1Cc2c(Cl)cc(C(O)=NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,LTS0046856
CC(=O)OC1C(C)OC(OC(=O)C23CCC(C)(C)CC2C2=CCC4C5(C)CC(O)C(OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(C)(C(=O)O)C5CCC4(C)C2(CO)CC3)C(OC2OC(C)C(OC3OCC(O)C(O)C3O)C(O)C2O)C1OC(C)=O,LTS0034918
CC1(C)Oc2c3c(nc4ccccc24)O[C@H]2[C@@H]3[C@@H]1CC[C@@]2(C)O,LTS0258619
CCCCCC[C@H]1CC[C@@H]2C=CC(=O)C[C@@]23CC[C@H](CCl)N13,LTS0034723
COC[C@@H]1OC(C)(C)[C@@H]2CC(=O)[C@]3(C)[C@H](CC[C@@]4(C)[C@H](c5ccoc5)OC(=O)[C@H]5O[C@]543)[C@@]12C,LTS0124695
CC[C@H](C)C[C@H](C)C[C@@H](C)/C=C(/C=C(\C)[C@H](O)[C@@H](C)/C=C/[C@H](O)C/C=C/[C@H](O)C/C=C/[C@H]1C[C@@H](O)CC(=O)O1)CO,LTS0104221
COC1=CC(=O)c2c(cc3c(c2O)-c2c(OC)cc4cc5c(c(O)c4c2OC(=O)C[C@](C)(O)C3)C(=O)C[C@@](C)(O)C5)C1=O,LTS0108189
C[C@@H]1CC=C2[C@@]13C[C@@]1(O)O[C@H](OC[C@]2(C)[C@@]1(C)O)[C@@H]3O,LTS0259904
Cc1cc2c(c(C3=C(O)C(=O)c4c(O)ccc(O)c4C3=O)c1)C(=O)c1c(O)c3c(c(O)c1C2=O)C=CC(C)(C)O3,LTS0038583
C/C=C(\C)[C@H](O)[C@H](O)[C@H]1[C@@H](O)[C@H](O)[C@@H](C)CCCC[C@@H]2O[C@]2(C)[C@H]2[C@@H]3O[C@@H]3[C@H]3C[C@@H](C)C[C@@H](C)[C@H]3[C@@H]2C(=O)C2=C(O)CN1OC2=O,LTS0256998
COc1ccc2c(c1OC)Oc1c(O)ccc3ccnc(c13)C2=O,LTS0051098
CO[C@H]1[C@H](O[C@@H]2[C@@H](OS(=O)(=O)O)[C@H](O)CO[C@H]2OC[C@@H](C)[C@H](C)/C=C/[C@@H](C)[C@H]2C[C@@H](O)[C@H]3[C@]4(O)C[C@H](O)[C@H]5[C@@H](O)[C@@H](O)CC[C@]5(C)[C@H]4CC[C@@]32C)OC[C@@H](O)[C@@H]1O,LTS0049393
COC1(CCC(C)COC2OC(CO)C(O)C(O)C2O)OC2CC3C4CC=C5CC(OC6OC(CO)C(OC7OC(COC8OC(CO)C(O)C(O)C8O)C(O)C7O)C(O)C6OC6OC(C)C(O)C(O)C6O)CCC5(C)C4CCC3(C)C2C1C,LTS0118352
CCCCCCCCCCCC(=O)C1=C(O)CC(CCC)OC1=O,LTS0247912
CC(C)CCCCCCCCCCCC(=O)OC(COC(=O)CC(C)C)COC(=O)CC(C)C,LTS0265649
CCCCC1=CC(=O)C(CC(=O)O)O1,LTS0118675
CC1(C)C(=O)CCC2(C)C3CCC4C5(CCC6C(C)(C)C(O)CCC46C)CC3(CCC12)CO5,LTS0094876
COC(=O)C1=CCCC2C1(C)CCC(C)C2(C)CCC1=CCOC1=O,LTS0109916
CC(=O)O[C@H]1C/C(C)=C/C[C@@H](O)/C(C)=C/[C@H]2OC(=O)[C@H](C)[C@H]12,LTS0021958
CCC(C)C(=O)C1C(OC)=C(C)C(=O)C1(OC)C(C)=O,LTS0254511
CC(C)[C@@H]1CC[C@@H](C)[C@]2(O)CCC(C=O)=C[C@@H]12,LTS0038596
C[C@H]1CCCC[C@H](CCCC(Br)Br)c2c(O)cc(cc2O)[C@H](OC(=N)O)[C@@H](C)CCCC[C@H](CCCC(Br)Br)c2c(O)cc(cc2O)[C@@H]1OC(=N)O,LTS0040407
