Name,Smile,CAS Number,Type
"1,2,4-Trimethylcyclohexane",CC1CCC(C)C(C)C1,2234-75-5,Not biofuel
"1,3,5-Trimethylcyclohexane",CC1CC(C)CC(C)C1,1839-63-0  ,Not biofuel
"1,1-Dimethylcycloheptane",CC1(C)CCCCCC1,13151-49-0  ,Not biofuel
Ethylcycloheptane,CCC1CCCCCC1,13151-55-8  ,Not biofuel
Ethene,C=C,74-85-1  ,Not biofuel
Propene,CC=C,115-07-1,Not biofuel
1-Butene,CCC=C,106-98-9  ,Biofuel
2-Butene,CC=CC,107-01-7  ,Biofuel
1-Pentene,CCCC=C,109-67-1,Biofuel
2-Pentene,CCC=CC,109-68-2  ,Biofuel
1-Hexene,CCCCC=C,592-41-6  ,Biofuel
2-Hexene,CCCC=CC,592-43-8,Not biofuel
3-Hexene,CCC=CCC,592-47-2  ,Not biofuel
1-Heptene,CCCCCC=C,592-76-7  ,Biofuel
2-Heptene,CCCCC=CC,592-77-8  ,Biofuel
3-Heptene,CCCC=CCC,592-78-9  ,Not biofuel
1-Octene,CCCCCCC=C,111-66-0,Biofuel
2-Octene,CCCCCC=CC,111-67-1  ,Not biofuel
3-Octene,CCCCC=CCC,592-98-3,Not biofuel
4-Octene,CCCC=CCCC,592-99-4  ,Not biofuel
1-Nonene,CCCCCCCC=C,124-11-8,Biofuel
3-Nonene,CCCCCC=CCC,20063-77-8,Not biofuel
4-Nonene,CCCCC=CCCC,2198-23-4,Not biofuel
2-Methylpropene,CC(C)=C,115-11-7  ,Not biofuel
2-Methyl-2-butene,CC=C(C)C,513-35-9  ,Biofuel
2-Methyl-1-butene,CCC(C)=C,563-46-2  ,Biofuel
3-Methyl-1-butene,CC(C)C=C,563-45-1  ,Biofuel
2-Methyl-1-pentene,CCCC(C)=C,763-29-1,Biofuel
3-Methyl-1-pentene,CCC(C)C=C,760-20-3  ,Not biofuel
4-Methyl-1-pentene,CC(C)CC=C,691-37-2  ,Not biofuel
2-Methyl-2-pentene,CCC=C(C)C,625-27-4  ,Not biofuel
3-Methyl-2-pentene,CCC(C)=CC,922-61-2  ,Not biofuel
4-Methyl-2-pentene,CC=CC(C)C,4461-48-7,Not biofuel
2-Ethyl-1-butene,CCC(=C)CC,760-21-4  ,Not biofuel
"2,3-Dimethyl-1-butene",CC(C)C(C)=C,563-78-0  ,Not biofuel
"3,3-Dimethyl-1-butene",CC(C)(C)C=C,558-37-2  ,Not biofuel
"2,3-Dimethyl-2-butene",CC(C)=C(C)C,563-79-1,Not biofuel
2-Methyl-1-hexene,CCCCC(C)=C,06/02/6094,Not biofuel
3-Methyl-1-hexene,CCCC(C)C=C,3404-61-3,Not biofuel
4-Methyl-1-hexene,CCC(C)CC=C,3769-23-1,Not biofuel
5-Methyl-1-hexene,CC(C)CCC=C,3524-73-0,Not biofuel
2-Methyl-2-hexene,CCCC=C(C)C,2738-19-4,Not biofuel
3-Methyl-2-hexene,CCCC(C)=CC,17618-77-8  ,Not biofuel
4-Methyl-2-hexene,CCC(C)C=CC,3404-55-5  ,Not biofuel
5-Methyl-2-hexene,CC=CCC(C)C,3404-62-4  ,Not biofuel
2-Methyl-3-hexene,CCC=CC(C)C,42154-69-8  ,Not biofuel
